kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"427551","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0601","2",99751000
"427551","032","03212","521219","03212DL","2376","QDD","2","A","0","00000001","0601","2",67144000
"427551","032","03212","533111","03212DL","2376","RBI","2","A","0","00000001","0601","2",3122698000
"427573","032","03212","521219","03212DL","2376","SDA","2","A","0","00000001","0805","2",78000000
"403817","032","03212","523129","03212WA","2378","EBA","2","A","0","00000001","0855","2",232648000
"403817","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","0855","2",18034000
"403817","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0855","2",234115000
"427573","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0805","2",221654000
"427573","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0805","2",270000000
"427573","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0805","2",78229000
"427573","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0805","2",429370000
"403817","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0855","2",1456000
"403823","032","03212","522141","03212DL","2375","DDA","2","A","0","00000001","1151","2",12000000
"403823","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","1151","2",534600000
"403823","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","1151","2",73826000
"403823","032","03212","511621","03212WA","2378","EBA","2","A","0","00000001","1151","2",111000000
"652009","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","1206","2",70440000
"652009","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","1206","2",485735000
"652009","032","03212","521219","03212DL","2376","QDD","2","A","0","00000001","1206","2",69074000
"652009","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","1206","2",977495000
"652009","032","03212","524113","03212DL","2376","SAC","2","A","0","00000001","1206","2",4500000
"652009","032","03212","521832","03212DL","2376","SAC","2","A","0","00000001","1206","2",633165000
"652009","032","03212","523121","03212DL","2376","SAC","2","A","0","00000001","1206","2",60000000
"653526","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","0211","2",35850000
"403824","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0210","2",323045000
"403832","032","03212","521211","03212WA","2378","EBA","2","A","0","00000001","0211","2",12236000
"403824","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0210","2",25788000
"403824","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","0210","2",99672000
"653526","032","03212","524111","03212WA","4345","EBC","2","D","0","00000001","0211","2",2910000
"403824","032","03212","522141","03212WA","2378","EBA","2","A","0","00000001","0210","2",105000000
"653526","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0211","2",345876000
"653526","032","03212","522141","03212WA","4345","EBC","2","A","0","00000001","0211","2",35882000
"403832","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0211","2",28000000
"653526","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0211","2",47172000
"403824","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","0210","2",600000
"403832","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0211","2",145710000
"403824","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","0210","2",36000000
"653526","032","03212","521211","03212WA","4345","EBC","2","A","0","00000001","0211","2",443634000
"653526","032","03212","521131","03212WA","2378","EBA","2","A","0","00000001","0211","2",30504000
"403829","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","0252","2",36725000
"403829","032","03212","521211","03212DL","2375","QDD","2","A","0","00000001","0252","2",27000000
"403830","032","03212","522151","03212WA","2378","EBA","2","A","0","00000001","0258","2",5400000
"403830","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0258","2",34000
"403829","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","0252","2",112320000
"403830","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0258","2",551630000
"403829","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","0252","2",1500000
"403830","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0258","2",19600000
"403879","032","03212","521219","03212DL","2376","SAC","2","A","0","00000001","0222","2",1491712000
"403879","032","03212","521211","03212DL","2376","SAC","2","A","0","00000001","0222","2",404965000
"403879","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","0222","2",1076000
"403834","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0401","2",42000
"403834","032","03212","524113","03212WA","2378","EBA","2","A","0","00000001","0401","2",1500000
"403826","032","03212","522192","03212WA","2378","EBA","2","A","0","00000001","2251","2",18000000
"403826","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","2251","2",1500000
"403826","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","2251","2",10500000
"403826","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","2251","2",85528000
"403826","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","2251","2",24076000
"403826","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","2251","2",600000
"403838","032","03212","511153","03212WA","2378","EBA","2","A","0","00000001","2451","2",461181000
"245124","032","03212","511152","03212WA","2378","EBA","2","A","0","00000001","2451","2",146217000
"403838","032","03212","521211","03212DL","2376","SDA","2","A","0","00000001","2451","2",10600000
"403838","032","03212","524113","03212DL","2376","SDA","2","A","0","00000001","2451","2",5400000
"403838","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","2451","2",7000000
"245124","032","03212","521211","03212WA","2378","EBD","2","A","0","00000001","2451","2",36422000
"403838","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","2451","2",1526472000
"403838","032","03212","532111","03212DL","2376","RAA","2","D","0","00000001","2451","2",116883000
"403838","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","2451","2",540000
"403838","032","03212","524113","03212WA","2378","EBA","2","A","0","00000001","2451","2",15000000
"427582","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","1312","2",12000000
"427582","032","03212","511151","03212WA","2378","EBA","2","A","0","00000001","1312","2",51951000
"427582","032","03212","521114","03212WA","2378","EBA","2","A","0","00000001","1312","2",9000000
"427582","032","03212","532111","03212DL","2376","RAA","2","D","0","00000001","1304","2",168770000
