kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"427551","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0601","2",14/03/2022,19233300
"427551","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/05/2022,540000
"427551","032","03212","511152","03212WA","2378","EBA","2","A","0","00000001","0601","2",12/05/2022,45102500
"427551","032","03212","523129","03212WA","2378","EBA","2","A","0","00000001","0601","2",15/07/2022,1010820
"427551","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0601","2",25/07/2022,4135000
"427551","032","03212","521131","03212DL","2376","SAC","2","A","0","00000001","0601","2",08/09/2022,1013062
"427551","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/12/2022,2867865
"427551","032","03212","521211","03212DL","2376","SAC","2","A","0","00000001","0601","2",06/12/2022,28164000
"427551","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","0601","2",30/12/2022,56412000
"427551","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","0601","2",30/12/2022,29115000
"403817","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0855","2",14/02/2022,18468150
"403817","032","03212","521131","03212WA","2378","EBA","2","A","0","00000001","0855","2",17/02/2022,2498359
"427573","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0805","2",14/04/2022,18606200
"403817","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0855","2",22/06/2022,4405823
"427573","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0805","2",15/07/2022,15246550
"403817","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0855","2",01/09/2022,593
"403817","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","0855","2",06/10/2022,1475400
"403817","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0855","2",04/10/2022,11815335
"403817","032","03212","521115","03212WA","2378","EBA","2","A","0","00000001","0855","2",04/11/2022,9960000
"403817","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0855","2",29/11/2022,4293041
"403823","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","1151","2",27/04/2022,8669500
"403823","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","1151","2",31/05/2022,36589924
"403823","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","1151","2",21/07/2022,2878550
"403823","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","1151","2",19/08/2022,493120
"403823","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","1151","2",07/09/2022,21822581
"403823","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","1151","2",13/09/2022,174
"652009","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","1206","2",23/02/2022,16711998
"652009","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","1206","2",01/03/2022,16143310
"652009","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","1206","2",17/03/2022,14553801
"652009","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","1206","2",01/07/2022,297443
"652009","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","1206","2",01/07/2022,120867827
"652009","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","1206","2",19/07/2022,30423500
"652009","032","03212","523133","03212WA","2378","EBA","2","A","0","00000001","1206","2",24/08/2022,0
"652009","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","1206","2",29/08/2022,1000000
"652009","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","1206","2",05/09/2022,46613000
"652009","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","1206","2",01/10/2022,9406000
"652009","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","1206","2",01/11/2022,14701260
"403832","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0211","2",14/02/2022,14954350
