kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403823","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",17/03/2022,417
"652009","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",18/02/2022,1854000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",21/11/2022,1400000
"653526","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",06/09/2022,94160
"403829","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",26/08/2022,295000
"403879","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/12/2022,940839
"403838","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",07/06/2022,1145000
"403838","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",18/03/2022,54725000
"427602","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",13/01/2022,1010
"634146","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",12/07/2022,500000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",29/03/2022,400000
"403837","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",25/11/2022,500000
"238762","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/09/2022,407350
"239188","032","03212","424911","0000000","0000","000","0","F","0","00000001","0000","2",03/11/2022,849113
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",06/06/2022,875000
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",23/06/2022,725000
"238741","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",14/01/2022,3840000
"238741","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",30/11/2022,14400000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",14/03/2022,4000000
"403828","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,2390900
"403828","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2022,450000
"622035","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/03/2022,4894342
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",10/01/2022,27489
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",01/08/2022,8525000
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",10/10/2022,1415000
"403821","032","03212","425913","0000000","0000","000","0","D","0","00000001","0000","2",06/12/2022,100000000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",04/11/2022,300000
"427551","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,710000
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/08/2022,1272562
"427573","032","03212","425999","0000000","0000","000","0","D","0","00000001","0000","2",16/09/2022,-52500000
"427573","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",18/10/2022,47151500
"403823","032","03212","425991","0000000","0000","000","0","0","0","00000000","0000","2",01/10/2022,199900
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",18/03/2022,1500000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",02/06/2022,575000
"403829","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",10/03/2022,5000000
"403830","032","03212","425991","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,1140000
"403830","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",30/05/2022,1200000
