kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"238741","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",99770000
"238741","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",311700000
"238755","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",273000000
"237373","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",1846000
"652009","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",29375000
"403828","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",824498000
"403829","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",44339000
"403830","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",13735000
"403835","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",56520000
"403837","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",7879000
"403838","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",50750000
"403839","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",1500000
"403875","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",6080000
"403879","032","03212","425412","0000000","0000","000","0","0","0","00000000","0000","2",23600000
"239188","032","03212","424925","0000000","0000","000","0","0","0","00000000","0000","2",302500000
"237373","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",300421000
"239260","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",4750000
"239260","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",138000000
"427511","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",804150000
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",15271000
"427573","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",24000000
"427602","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",99985000
"652009","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",571150000
"403824","032","03212","425289","0000000","0000","000","0","0","0","00000000","0000","2",17450000
"403829","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",33170000
"403839","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",3200000
"403879","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",288000000
"427511","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",23237000
"427573","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",18485000
"427573","032","03212","425151","0000000","0000","000","0","0","0","00000000","0000","2",16200000
"427602","032","03212","425119","0000000","0000","000","0","0","0","00000000","0000","2",7800000
"427618","032","03212","425421","0000000","0000","000","0","0","0","00000000","0000","2",3300000
"427618","032","03212","425112","0000000","0000","000","0","0","0","00000000","0000","2",276780000
"427618","032","03212","425411","0000000","0000","000","0","0","0","00000000","0000","2",25500000
