kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"427573","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",31/03/2021,3375000
"652009","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/11/2021,1264700
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",26/10/2021,1800000
"403832","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",01/03/2021,375000
"653526","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/04/2021,1508800
"403824","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/11/2021,558360
"403879","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/02/2021,1702100
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",30/06/2021,200000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",29/09/2021,100000
"403838","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",27/10/2021,200000
"427582","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",19/08/2021,1320000
"427602","032","03212","425912","0000000","0000","000","0","D","0","00000001","0000","2",01/03/2021,455300
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",18/01/2021,400000
"634146","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",24/09/2021,17625000
"427630","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",28/09/2021,10400000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",02/09/2021,1500000
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",01/09/2021,900000
"238762","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",15/03/2021,3990444
"238741","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",28/06/2021,200000
"440013","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",11/10/2021,400000
"403827","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",01/12/2021,2131560
"440013","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",23/06/2021,375000
"403818","032","03212","425439","0000000","0000","000","0","D","0","00000001","0000","2",22/06/2021,1935000
"622035","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",19/11/2021,750000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",16/02/2021,150000
"427511","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",06/01/2021,500000
"427511","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",06/12/2021,35100000
"626402","032","03212","425999","0000000","0000","000","0","D","0","00000001","0000","2",14/07/2021,915111
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",15/11/2021,900000
"427511","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",25/08/2021,150000
"626402","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",18/05/2021,40000000
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",14/12/2021,150000
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",16/06/2021,100000
"427551","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",01/08/2021,710000
"427551","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",01/06/2021,710000
"427551","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",19/05/2021,3100000
"403823","032","03212","425129","0000000","0000","000","0","D","0","00000001","0000","2",30/06/2021,-6067899
"403832","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",03/05/2021,8100000
"403824","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",16/12/2021,1814888
