kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"427551","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/03/2022,3375
"427551","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0601","2",18/03/2022,2012000
"427551","032","03212","521131","03212DL","2376","SAC","2","A","0","00000001","0601","2",14/03/2022,483113
"427551","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","0601","2",16/03/2022,7400000
"427551","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","0601","2",21/04/2022,8800000
"427551","032","03212","511123","03212WA","2378","EBA","2","A","0","00000001","0601","2",22/04/2022,540000
"427551","032","03212","522141","03212DL","2376","SAC","2","A","0","00000001","0601","2",23/05/2022,10000000
"427551","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","0601","2",01/06/2022,47600000
"403817","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0855","2",01/02/2022,3258900
"427573","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","0805","2",03/01/2022,6028236
"427573","032","03212","511125","03212WA","2378","EBA","2","A","0","00000001","0805","2",03/01/2022,145075
"403817","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","0855","2",14/02/2022,19419531
"403817","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","0855","7",24/03/2022,-39
"427573","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0805","2",01/04/2022,13035600
"427573","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0805","2",01/04/2022,8714000
"427573","032","03212","511124","03212WA","2378","EBA","2","A","0","00000001","0805","2",21/04/2022,8714000
"403817","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","0855","2",23/05/2022,1341100
"403817","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","0855","2",23/05/2022,5505500
"427573","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0805","2",10/06/2022,15501500
"403817","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","0855","2",22/06/2022,1387500
"403823","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","1151","2",16/02/2022,7681480
"403823","032","03212","521219","03212DL","2375","QDD","2","A","0","00000001","1151","2",23/02/2022,8634800
"403823","032","03212","511625","03212WA","2378","EBA","2","A","0","00000001","1151","2",11/03/2022,15932400
"403823","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","1151","2",04/04/2022,51357000
"403823","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","1151","2",07/04/2022,345824413
"403823","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","1151","2",08/04/2022,14300000
"403823","032","03212","522113","03212WA","2378","EBA","2","A","0","00000001","1151","2",08/04/2022,5283060
"403823","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","1151","2",08/04/2022,7371000
"403823","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","1151","2",28/06/2022,1441023
"652009","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","1206","2",07/02/2022,18710000
