kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403823","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",17/03/2022,417
"652009","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",18/02/2022,1854000
"403838","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",07/06/2022,1145000
"403838","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",18/03/2022,54725000
"427602","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",13/01/2022,1010
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",29/03/2022,400000
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",06/06/2022,875000
"238741","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",14/01/2022,3840000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",14/03/2022,4000000
"403828","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,2390900
"403828","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2022,450000
"622035","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/03/2022,4894342
"427511","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",10/01/2022,27489
"427551","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,710000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",18/03/2022,1500000
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",02/06/2022,575000
"403830","032","03212","425991","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,1140000
"403829","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",10/03/2022,5000000
"403830","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",30/05/2022,1200000
"403879","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,600535
"427582","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2022,1119756
"634146","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2022,1252575
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",14/06/2022,1030000
"403828","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",07/01/2022,5509801
"403822","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",25/03/2022,150
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",30/05/2022,9119000
"427511","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2022,2791629
"238010","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",06/04/2022,3353600
"403833","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2022,575519
"403824","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",05/01/2022,3456789
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",07/02/2022,772500
"653526","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2022,1402320
"403829","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,109900
"403839","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",26/01/2022,56400000
"403820","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2022,308064
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",31/01/2022,2850000
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",31/05/2022,265000
